Algorithm: Greedy Vertex Coloring
Vertex colors:
0 0
1 0
2 0
3 0
4 1
5 0
6 0
7 0
8 0
9 1
10 0
11 1
12 0
13 0
14 2
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 1
23 1
24 1
25 1
26 0
27 2
28 2
29 2
30 1
31 1
32 0
33 3
34 2
35 2
36 0
37 1
38 1
39 1
40 2
41 0
42 2
43 1
44 1
45 2
46 2
47 1
48 1
49 1
50 0
51 3
52 3
53 0
54 1
55 3
56 2
57 1
58 4
59 0
60 0
61 0
62 1
63 1
64 4
65 4
66 0
67 1
68 5
69 3
70 3
71 2
72 3
73 2
74 2
75 3
76 2
77 5
78 0
79 1
80 2
81 5
82 2
83 3
84 4
85 4
86 2
87 3
88 3
89 4
90 4
91 5
92 1
93 3
94 5
95 4
96 0
97 2
98 1
99 3
Colors used: 6
Execution time: 0.143 ms
